Time,Emotion
21:30:17,surprise
21:30:17,happy
21:30:17,angry
21:30:17,angry
21:30:17,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:19,surprise
21:30:19,fear
21:30:19,fear
21:30:20,sad
21:30:20,fear
21:30:20,fear
21:30:20,fear
21:30:21,fear
21:30:21,fear
21:30:21,fear
21:30:21,neutral
21:30:21,neutral
21:30:21,happy
21:30:21,neutral
21:30:21,fear
21:30:21,neutral
21:30:21,happy
21:30:22,neutral
21:30:22,happy
21:30:22,angry
21:30:22,neutral
21:30:22,angry
21:30:22,angry
21:30:22,angry
21:30:22,neutral
21:30:22,neutral
21:30:22,angry
21:30:22,angry
21:30:22,neutral
21:30:22,neutral
21:30:22,neutral
21:30:23,neutral
21:30:23,neutral
21:30:23,sad
21:30:23,angry
21:30:23,disgust
21:30:23,fear
21:30:23,angry
21:30:23,surprise
21:30:23,fear
21:30:23,angry
21:30:23,angry
21:30:24,fear
21:30:24,angry
21:30:24,disgust
21:30:24,disgust
21:30:24,disgust
21:30:24,happy
21:30:24,disgust
21:30:24,fear
21:30:24,angry
21:30:24,angry
21:30:24,angry
21:30:24,angry
21:30:24,angry
21:30:25,angry
21:30:25,fear
21:30:25,neutral
21:30:25,fear
21:30:25,fear
21:30:25,neutral
21:30:25,neutral
21:30:25,neutral
21:30:25,neutral
21:30:25,neutral
21:30:25,angry
21:30:25,angry
21:30:25,sad
21:30:25,disgust
21:30:25,angry
21:30:26,angry
21:30:26,disgust
21:30:26,angry
21:30:26,angry
21:30:26,angry
21:30:26,angry
21:30:26,angry
21:30:26,neutral
21:30:26,fear
21:30:26,neutral
21:30:26,neutral
21:30:26,neutral
21:30:26,neutral
21:30:26,neutral
21:30:27,neutral
21:30:27,neutral
21:30:27,neutral
21:30:27,neutral
21:30:27,neutral
21:30:28,neutral
21:30:28,fear
21:30:28,disgust
21:30:28,angry
21:30:28,angry
21:30:28,angry
21:30:28,angry
21:30:28,angry
21:30:28,fear
21:30:28,fear
21:30:28,fear
21:30:28,fear
21:30:28,angry
21:30:29,angry
21:30:29,angry
21:30:29,fear
21:30:29,angry
21:30:29,fear
21:30:29,fear
21:30:29,angry
21:30:29,angry
21:30:29,neutral
21:30:29,happy
21:30:32,neutral
21:30:32,happy
21:30:32,neutral
21:30:32,neutral
21:30:32,fear
21:30:32,fear
21:30:32,fear
21:30:32,neutral
21:30:34,happy
21:30:34,happy
